Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
6.87E-07	6.90E-07	-3.06E-09	4.99E-01	H12346PCOH(S) <=> H1346PCOH(S) + H(S)
6.74E-07	6.74E-07	-2.29E-10	5.00E-01	H12346PCOH(S) + 2 PT(S) <=> H2346PCOH(S) + H(S) + 2 PT(B)
4.23E-09	4.24E-09	-1.16E-11	4.99E-01	H12356PCOH(S) + PT(S) <=> H1235PCOH(S) + H(S) + PT(B)
2.01E-07	2.01E-07	-1.57E-11	5.00E-01	H12356PCOH(S) + PT(S) <=> H1236PCOH(S) + H(S) + PT(B)
4.54E-08	4.54E-08	-4.57E-12	5.00E-01	H12356PCOH(S) + PT(S) <=> H1256PCOH(S) + H(S) + PT(B)
3.30E-09	3.30E-09	-5.16E-12	5.00E-01	H12356PCOH(S) + PT(S) <=> H1356PCOH(S) + H(S) + PT(B)
4.11E-07	4.11E-07	-2.06E-10	5.00E-01	H12356PCOH(S) + PT(S) <=> H2356PCOH(S) + H(S) + PT(B)
1.58E-08	1.59E-08	-1.12E-10	4.98E-01	H12456PCOH(S) <=> H1245PCOH(S) + H(S)
1.19E-08	1.19E-08	-4.01E-11	4.99E-01	H12456PCOH(S) + PT(S) <=> H1246PCOH(S) + H(S) + PT(B)
6.09E-08	6.12E-08	-2.57E-10	4.99E-01	H12456PCOH(S) + PT(S) <=> H1256PCOH(S) + H(S) + PT(B)
1.64E-10	1.65E-10	-9.57E-13	4.99E-01	H12456PCOH(S) + 2 PT(S) <=> H1456PCOH(S) + H(S) + 2 PT(B)
4.08E-07	4.10E-07	-1.31E-09	4.99E-01	H12456PCOH(S) + 2 PT(S) <=> H2456PCOH(S) + H(S) + 2 PT(B)
7.83E-08	7.86E-08	-3.40E-10	4.99E-01	H13456PCOH(S) + PT(S) <=> H1345PCOH(S) + H(S) + PT(B)
8.28E-07	8.31E-07	-2.42E-09	4.99E-01	H13456PCOH(S) <=> H1346PCOH(S) + H(S)
8.25E-09	8.26E-09	-1.19E-11	5.00E-01	H13456PCOH(S) + PT(S) <=> H1356PCOH(S) + H(S) + PT(B)
3.05E-10	3.06E-10	-4.87E-13	5.00E-01	H13456PCOH(S) + 2 PT(S) <=> H1456PCOH(S) + H(S) + 2 PT(B)
1.24E-06	1.24E-06	-1.68E-09	5.00E-01	H13456PCOH(S) + PT(S) <=> H3456PCOH(S) + H(S) + PT(B)
3.19E-07	3.50E-07	-3.08E-08	4.77E-01	H23456PCOH(S) <=> H2345PCOH(S) + H(S)
1.19E-07	1.30E-07	-1.12E-08	4.78E-01	H23456PCOH(S) + PT(S) <=> H2346PCOH(S) + H(S) + PT(B)
1.51E-07	1.65E-07	-1.44E-08	4.77E-01	H23456PCOH(S) <=> H2356PCOH(S) + H(S)
5.18E-07	5.67E-07	-4.86E-08	4.78E-01	H23456PCOH(S) + PT(S) <=> H2456PCOH(S) + H(S) + PT(B)
1.81E-07	1.99E-07	-1.75E-08	4.77E-01	H23456PCOH(S) <=> H3456PCOH(S) + H(S)
3.41E-08	3.41E-08	6.71E-12	5.00E-01	H1234PCOH(S) + 2 PT(S) <=> H123PCOH(S) + H(S) + 2 PT(B)
1.17E-07	1.17E-07	5.54E-11	5.00E-01	H1234PCOH(S) + PT(S) <=> H124PCOH(S) + H(S) + PT(B)
7.28E-07	7.28E-07	-6.21E-10	5.00E-01	H1234PCOH(S) + PT(S) <=> H134PCOH(S) + H(S) + PT(B)
4.42E-07	4.41E-07	4.68E-10	5.00E-01	H1234PCOH(S) + 3 PT(S) <=> H234PCOH(S) + H(S) + 3 PT(B)
8.76E-07	8.76E-07	2.30E-10	5.00E-01	H1235PCOH(S) + 2 PT(S) <=> H123PCOH(S) + H(S) + 2 PT(B)
2.80E-05	2.80E-05	-1.33E-09	5.00E-01	H1235PCOH(S) + 2 PT(S) <=> H125PCOH(S) + H(S) + 2 PT(B)
5.16E-06	5.16E-06	-6.09E-09	5.00E-01	H1235PCOH(S) + PT(S) <=> H135PCOH(S) + H(S) + PT(B)
2.08E-04	2.08E-04	7.13E-09	5.00E-01	H1235PCOH(S) + 2 PT(S) <=> H235PCOH(S) + H(S) + 2 PT(B)
1.63E-07	1.64E-07	-3.93E-10	4.99E-01	H1236PCOH(S) + 2 PT(S) <=> H123PCOH(S) + H(S) + 2 PT(B)
1.73E-06	1.73E-06	1.33E-09	5.00E-01	H1236PCOH(S) + 2 PT(S) <=> H126PCOH(S) + H(S) + 2 PT(B)
6.00E-07	6.01E-07	-1.59E-09	4.99E-01	H1236PCOH(S) + 2 PT(S) <=> H136PCOH(S) + H(S) + 2 PT(B)
2.91E-05	2.91E-05	1.81E-11	5.00E-01	H1236PCOH(S) + 2 PT(S) <=> H236PCOH(S) + H(S) + 2 PT(B)
