Fwd_Rate	Rev_Rate	Net_Rate	PEI	Reaction_String
7.76E-07	7.77E-07	-5.59E-10	5.00E-01	H12346PCOH(S) <=> H1346PCOH(S) + H(S)
7.09E-07	7.09E-07	-7.10E-12	5.00E-01	H12346PCOH(S) + 2 PT(S) <=> H2346PCOH(S) + H(S) + 2 PT(B)
4.61E-09	4.61E-09	-2.24E-12	5.00E-01	H12356PCOH(S) + PT(S) <=> H1235PCOH(S) + H(S) + PT(B)
2.19E-07	2.19E-07	-3.12E-12	5.00E-01	H12356PCOH(S) + PT(S) <=> H1236PCOH(S) + H(S) + PT(B)
4.94E-08	4.94E-08	-6.89E-13	5.00E-01	H12356PCOH(S) + PT(S) <=> H1256PCOH(S) + H(S) + PT(B)
3.59E-09	3.59E-09	-8.96E-13	5.00E-01	H12356PCOH(S) + PT(S) <=> H1356PCOH(S) + H(S) + PT(B)
4.48E-07	4.48E-07	-3.29E-11	5.00E-01	H12356PCOH(S) + PT(S) <=> H2356PCOH(S) + H(S) + PT(B)
1.79E-08	1.79E-08	-2.05E-11	5.00E-01	H12456PCOH(S) <=> H1245PCOH(S) + H(S)
1.30E-08	1.30E-08	-6.83E-12	5.00E-01	H12456PCOH(S) + PT(S) <=> H1246PCOH(S) + H(S) + PT(B)
6.66E-08	6.66E-08	-4.15E-11	5.00E-01	H12456PCOH(S) + PT(S) <=> H1256PCOH(S) + H(S) + PT(B)
1.73E-10	1.73E-10	-1.58E-13	5.00E-01	H12456PCOH(S) + 2 PT(S) <=> H1456PCOH(S) + H(S) + 2 PT(B)
4.31E-07	4.31E-07	-2.12E-10	5.00E-01	H12456PCOH(S) + 2 PT(S) <=> H2456PCOH(S) + H(S) + 2 PT(B)
8.52E-08	8.53E-08	-8.22E-11	5.00E-01	H13456PCOH(S) + PT(S) <=> H1345PCOH(S) + H(S) + PT(B)
9.35E-07	9.35E-07	-4.54E-10	5.00E-01	H13456PCOH(S) <=> H1346PCOH(S) + H(S)
8.98E-09	8.99E-09	-1.49E-12	5.00E-01	H13456PCOH(S) + PT(S) <=> H1356PCOH(S) + H(S) + PT(B)
3.21E-10	3.21E-10	-7.16E-14	5.00E-01	H13456PCOH(S) + 2 PT(S) <=> H1456PCOH(S) + H(S) + 2 PT(B)
1.35E-06	1.35E-06	-1.94E-10	5.00E-01	H13456PCOH(S) + PT(S) <=> H3456PCOH(S) + H(S) + PT(B)
3.75E-07	3.80E-07	-5.07E-09	4.97E-01	H23456PCOH(S) <=> H2345PCOH(S) + H(S)
1.35E-07	1.37E-07	-1.78E-09	4.97E-01	H23456PCOH(S) + PT(S) <=> H2346PCOH(S) + H(S) + PT(B)
1.77E-07	1.80E-07	-2.36E-09	4.97E-01	H23456PCOH(S) <=> H2356PCOH(S) + H(S)
5.80E-07	5.87E-07	-7.63E-09	4.97E-01	H23456PCOH(S) + PT(S) <=> H2456PCOH(S) + H(S) + PT(B)
2.13E-07	2.16E-07	-2.88E-09	4.97E-01	H23456PCOH(S) <=> H3456PCOH(S) + H(S)
3.58E-08	3.58E-08	3.16E-12	5.00E-01	H1234PCOH(S) + 2 PT(S) <=> H123PCOH(S) + H(S) + 2 PT(B)
1.28E-07	1.28E-07	7.85E-12	5.00E-01	H1234PCOH(S) + PT(S) <=> H124PCOH(S) + H(S) + PT(B)
7.91E-07	7.91E-07	-1.49E-10	5.00E-01	H1234PCOH(S) + PT(S) <=> H134PCOH(S) + H(S) + PT(B)
4.48E-07	4.47E-07	1.20E-10	5.00E-01	H1234PCOH(S) + 3 PT(S) <=> H234PCOH(S) + H(S) + 3 PT(B)
9.19E-07	9.19E-07	2.17E-11	5.00E-01	H1235PCOH(S) + 2 PT(S) <=> H123PCOH(S) + H(S) + 2 PT(B)
2.94E-05	2.94E-05	-6.51E-10	5.00E-01	H1235PCOH(S) + 2 PT(S) <=> H125PCOH(S) + H(S) + 2 PT(B)
5.61E-06	5.61E-06	-2.44E-09	5.00E-01	H1235PCOH(S) + PT(S) <=> H135PCOH(S) + H(S) + PT(B)
2.19E-04	2.19E-04	3.06E-09	5.00E-01	H1235PCOH(S) + 2 PT(S) <=> H235PCOH(S) + H(S) + 2 PT(B)
1.72E-07	1.72E-07	-7.69E-11	5.00E-01	H1236PCOH(S) + 2 PT(S) <=> H123PCOH(S) + H(S) + 2 PT(B)
1.82E-06	1.82E-06	1.59E-10	5.00E-01	H1236PCOH(S) + 2 PT(S) <=> H126PCOH(S) + H(S) + 2 PT(B)
6.31E-07	6.31E-07	-3.12E-10	5.00E-01	H1236PCOH(S) + 2 PT(S) <=> H136PCOH(S) + H(S) + 2 PT(B)
3.06E-05	3.06E-05	1.53E-10	5.00E-01	H1236PCOH(S) + 2 PT(S) <=> H236PCOH(S) + H(S) + 2 PT(B)
6.11E-06	6.11E-06	3.02E-10	5.00E-01	H1245PCOH(S) + 2 PT(S) <=> H124PCOH(S) + H(S) + 2 PT(B)
5.48E-05	5.48E-05	1.67E-09	5.00E-01	H1245PCOH(S) + 3 PT(S) <=> H125PCOH(S) + H(S) + 3 PT(B)
2.10E-05	2.10E-05	-5.87E-09	5.00E-01	H1245PCOH(S) + 2 PT(S) <=> H145PCOH(S) + H(S) + 2 PT(B)
3.29E-04	3.29E-04	3.85E-09	5.00E-01	H1245PCOH(S) + 3 PT(S) <=> H245PCOH(S) + H(S) + 3 PT(B)
3.20E-06	3.20E-06	-1.83E-09	5.00E-01	H1246PCOH(S) + PT(S) <=> H124PCOH(S) + H(S) + PT(B)
9.51E-06	9.51E-06	-1.02E-10	5.00E-01	H1246PCOH(S) + 2 PT(S) <=> H126PCOH(S) + H(S) + 2 PT(B)
1.67E-06	1.67E-06	-8.86E-10	5.00E-01	H1246PCOH(S) + PT(S) <=> H146PCOH(S) + H(S) + PT(B)
5.96E-04	5.96E-04	2.81E-09	5.00E-01	H1246PCOH(S) + 2 PT(S) <=> H246PCOH(S) + H(S) + 2 PT(B)
2.81E-06	2.81E-06	-1.39E-09	5.00E-01	H1256PCOH(S) + 2 PT(S) <=> H125PCOH(S) + H(S) + 2 PT(B)
9.32E-07	9.32E-07	8.10E-11	5.00E-01	H1256PCOH(S) + 2 PT(S) <=> H126PCOH(S) + H(S) + 2 PT(B)
1.03E-06	1.03E-06	-2.73E-10	5.00E-01	H1256PCOH(S) + PT(S) <=> H156PCOH(S) + H(S) + PT(B)
3.69E-04	3.69E-04	1.54E-09	5.00E-01	H1256PCOH(S) + PT(S) <=> H256PCOH(S) + H(S) + PT(B)
4.67E-05	4.67E-05	1.45E-08	5.00E-01	H1345PCOH(S) + PT(S) <=> H134PCOH(S) + H(S) + PT(B)
1.29E-05	1.29E-05	1.63E-09	5.00E-01	H1345PCOH(S) + PT(S) <=> H135PCOH(S) + H(S) + PT(B)
2.59E-05	2.58E-05	5.93E-09	5.00E-01	H1345PCOH(S) + PT(S) <=> H145PCOH(S) + H(S) + PT(B)
6.59E-05	6.59E-05	-2.22E-08	5.00E-01	H1345PCOH(S) + 2 PT(S) <=> H345PCOH(S) + H(S) + 2 PT(B)
8.52E-05	8.52E-05	-1.44E-08	5.00E-01	H1346PCOH(S) + 2 PT(S) <=> H134PCOH(S) + H(S) + 2 PT(B)
1.42E-05	1.42E-05	8.47E-10	5.00E-01	H1346PCOH(S) + 3 PT(S) <=> H136PCOH(S) + H(S) + 3 PT(B)
7.15E-06	7.15E-06	8.66E-10	5.00E-01	H1346PCOH(S) + 2 PT(S) <=> H146PCOH(S) + H(S) + 2 PT(B)
3.86E-04	3.86E-04	1.17E-08	5.00E-01	H1346PCOH(S) + 3 PT(S) <=> H346PCOH(S) + H(S) + 3 PT(B)
5.21E-06	5.21E-06	-3.50E-09	5.00E-01	H1356PCOH(S) + PT(S) <=> H135PCOH(S) + H(S) + PT(B)
3.14E-06	3.14E-06	-8.16E-10	5.00E-01	H1356PCOH(S) + 2 PT(S) <=> H136PCOH(S) + H(S) + 2 PT(B)
9.98E-06	9.98E-06	-3.01E-10	5.00E-01	H1356PCOH(S) + PT(S) <=> H156PCOH(S) + H(S) + PT(B)
3.90E-03	3.90E-03	4.61E-09	5.00E-01	H1356PCOH(S) + PT(S) <=> H356PCOH(S) + H(S) + PT(B)
1.89E-07	1.89E-07	-9.65E-11	5.00E-01	H1456PCOH(S) <=> H145PCOH(S) + H(S)
2.86E-08	2.86E-08	-4.05E-12	5.00E-01	H1456PCOH(S) <=> H146PCOH(S) + H(S)
1.80E-07	1.80E-07	4.89E-12	5.00E-01	H1456PCOH(S) <=> H156PCOH(S) + H(S)
3.96E-06	3.96E-06	9.54E-11	5.00E-01	H1456PCOH(S) + PT(S) <=> H456PCOH(S) + H(S) + PT(B)
7.26E-07	7.26E-07	-4.17E-11	5.00E-01	H2345PCOH(S) + 3 PT(S) <=> H234PCOH(S) + H(S) + 3 PT(B)
1.38E-05	1.38E-05	-3.40E-09	5.00E-01	H2345PCOH(S) + 2 PT(S) <=> H235PCOH(S) + H(S) + 2 PT(B)
1.11E-05	1.11E-05	-3.35E-09	5.00E-01	H2345PCOH(S) + 2 PT(S) <=> H245PCOH(S) + H(S) + 2 PT(B)
1.81E-06	1.81E-06	-2.10E-09	5.00E-01	H2345PCOH(S) + 2 PT(S) <=> H345PCOH(S) + H(S) + 2 PT(B)
9.61E-08	9.61E-08	-4.07E-11	5.00E-01	H2346PCOH(S) + 2 PT(S) <=> H234PCOH(S) + H(S) + 2 PT(B)
1.37E-06	1.37E-06	-2.05E-10	5.00E-01	H2346PCOH(S) + PT(S) <=> H236PCOH(S) + H(S) + PT(B)
5.11E-06	5.11E-06	-2.67E-10	5.00E-01	H2346PCOH(S) + PT(S) <=> H246PCOH(S) + H(S) + PT(B)
7.69E-07	7.70E-07	-5.23E-10	5.00E-01	H2346PCOH(S) + PT(S) <=> H346PCOH(S) + H(S) + PT(B)
4.32E-06	4.32E-06	-1.72E-09	5.00E-01	H2356PCOH(S) + 2 PT(S) <=> H235PCOH(S) + H(S) + 2 PT(B)
3.24E-06	3.24E-06	2.08E-10	5.00E-01	H2356PCOH(S) + 2 PT(S) <=> H236PCOH(S) + H(S) + 2 PT(B)
