            Fwd_Rate             Rev_Rate             Net_Rate  PEI      Reaction_String
    0.00465501     0.00474929    -0.00009427 0.50         (28)(011100)  <=>         (58)(111010)
    0.00034925     0.00033687     0.00001238 0.50         (28)(011100)  <=>         (60)(111100)
    0.00003875     0.00013760    -0.00009885 0.50         (29)(011101)  <=>         (59)(111011)
    0.00001407     0.00001389     0.00000018 0.50         (29)(011101)  <=>         (61)(111101)
    0.00126450     0.00004860     0.00121590 0.50         (29)(011101)  <=>         (62)(111110)
    0.00000000     0.00000000     0.00000000 0.50         (30)(011110)  <=>         (62)(111110)
    0.00000000     0.00000000     0.00000000 0.50         (31)(011111)  <=>         (63)(111111)
    0.08350188     0.00201469     0.08148719 0.50         (32)(100000)  <=>         (33)(100001)
    0.00000023     0.00000019     0.00000005 0.50         (32)(100000)  <=>         (36)(100100)
    0.00000980     0.00000094     0.00000885 0.50         (32)(100000)  <=>         (40)(101000)
    0.00000000     0.23642763    -0.23642762 0.50         (32)(100000)  <=>         (48)(110000)
    0.00000003     0.00000004    -0.00000001 0.50         (33)(100001)  <=>         (37)(100101)
    0.00000528     0.00000050     0.00000478 0.50         (33)(100001)  <=>         (41)(101001)
    0.00000000     0.00086316    -0.00086316 0.50         (33)(100001)  <=>         (49)(110001)
    4.43149009     4.46296628    -0.03147619 0.50         (34)(100010)  <=>         (35)(100011)
    0.58872969     0.10082878     0.48790091 0.50         (34)(100010)  <=>         (38)(100110)
    1.04220104     2.93502885    -1.89282781 0.50         (34)(100010)  <=>         (42)(101010)
    1.99861983     0.00673565     1.99188418 0.50         (34)(100010)  <=>         (50)(110010)
    0.00764783     0.00309953     0.00454830 0.50         (35)(100011)  <=>         (39)(100111)
    0.00289875     0.04404313    -0.04114438 0.50         (35)(100011)  <=>         (43)(101011)
    0.00555891     0.00043902     0.00511988 0.50         (35)(100011)  <=>         (51)(110011)
    0.00000000     0.00000019    -0.00000018 0.50         (36)(100100)  <=>         (37)(100101)
    0.00000000     0.00000000     0.00000000 0.50         (36)(100100)  <=>         (44)(101100)
    0.00000000     0.00000000    -0.00000000 0.50         (36)(100100)  <=>         (52)(110100)
    0.00000000     0.00000000     0.00000000 0.50         (37)(100101)  <=>         (45)(101101)
    0.00000000     0.00000000    -0.00000000 0.50         (37)(100101)  <=>         (53)(110101)
    0.00145936     0.00587841    -0.00441905 0.50         (38)(100110)  <=>         (39)(100111)
    0.00036996     0.00000110     0.00036886 0.50         (38)(100110)  <=>         (46)(101110)
    0.00115865     0.00000049     0.00115816 0.50         (38)(100110)  <=>         (54)(110110)
    0.00003129     0.00000005     0.00003125 0.50         (39)(100111)  <=>         (47)(101111)
    0.00009801     0.00000001     0.00009800 0.50         (39)(100111)  <=>         (55)(110111)
    0.24904651     0.00593353     0.24311298 0.50         (40)(101000)  <=>         (41)(101001)
    0.00000070     0.00000001     0.00000069 0.50         (40)(101000)  <=>         (44)(101100)
    0.00000001     0.70533662    -0.70533660 0.50         (40)(101000)  <=>         (56)(111000)
    0.00000009     0.00000000     0.00000009 0.50         (41)(101001)  <=>         (45)(101101)
    0.00000001     0.00256246    -0.00256245 0.50         (41)(101001)  <=>         (57)(111001)
    0.00730822     0.03970929    -0.03240106 0.50         (42)(101010)  <=>         (43)(101011)
    0.00097091     0.00000018     0.00097073 0.50         (42)(101010)  <=>         (46)(101110)
    0.18784185     1.17339905    -0.98555720 0.50         (42)(101010)  <=>         (50)(110010)
    0.00329604     0.00001473     0.00328131 0.50         (42)(101010)  <=>         (58)(111010)
    0.00006805     0.00000000     0.00006804 0.50         (43)(101011)  <=>         (47)(101111)
    0.00281876     0.07648134    -0.07366258 0.50         (43)(101011)  <=>         (51)(110011)
    0.00004946     0.00000037     0.00004909 0.50         (43)(101011)  <=>         (59)(111011)
    0.00000000     0.00000000    -0.00000000 0.50         (44)(101100)  <=>         (45)(101101)
    0.00000000     0.00000000    -0.00000000 0.50         (44)(101100)  <=>         (60)(111100)
    0.00000000     0.00000000    -0.00000000 0.50         (45)(101101)  <=>         (61)(111101)
    0.00000000     0.00000000    -0.00000000 0.50         (46)(101110)  <=>         (47)(101111)
    0.00242619     0.00003442     0.00239177 0.50         (46)(101110)  <=>         (54)(110110)
    0.00000000     0.00000000     0.00000000 0.50         (46)(101110)  <=>         (62)(111110)
    0.00009966     0.00000037     0.00009929 0.50         (47)(101111)  <=>         (55)(110111)
    0.00000000     0.00000000     0.00000000 0.50         (47)(101111)  <=>         (63)(111111)
    0.57707731     0.57919606    -0.00211875 0.50         (48)(110000)  <=>         (49)(110001)
    0.00131324     0.00165784    -0.00034460 0.50         (48)(110000)  <=>         (52)(110100)
    0.06824011     0.00657350     0.06166661 0.50         (48)(110000)  <=>         (56)(111000)
    0.00000334     0.00004574    -0.00004240 0.50         (49)(110001)  <=>         (53)(110101)
    0.00024913     0.00002388     0.00022525 0.50         (49)(110001)  <=>         (57)(111001)
  356.98342995   357.38942974    -0.40599979 0.50         (50)(110010)  <=>         (51)(110011)
   22.25302529    22.08388116     0.16914413 0.50         (50)(110010)  <=>         (54)(110110)
   16.89971678    63.10503816   -46.20532138 0.50         (50)(110010)  <=>         (58)(111010)
    0.03950094     0.19680729    -0.15730636 0.50         (51)(110011)  <=>         (55)(110111)
    1.10151184     1.58164343    -0.48013159 0.50         (51)(110011)  <=>         (59)(111011)
    0.00000150     0.00009876    -0.00009726 0.50         (52)(110100)  <=>         (53)(110101)
    0.00000176     0.00000013     0.00000162 0.50         (52)(110100)  <=>         (60)(111100)
    0.00000163     0.00000001     0.00000162 0.50         (53)(110101)  <=>         (61)(111101)
    1.51432328     1.35729169     0.15703159 0.50         (54)(110110)  <=>         (55)(110111)
    0.36949488     0.40503316    -0.03553828 0.50         (54)(110110)  <=>         (62)(111110)
    0.00397415     0.00405162    -0.00007747 0.50         (55)(110111)  <=>         (63)(111111)
    1.72159981     1.71945232     0.00214749 0.50         (56)(111000)  <=>         (57)(111001)
    0.00391781     0.00393869    -0.00002088 0.50         (56)(111000)  <=>         (60)(111100)
    0.00000991     0.00000483     0.00000508 0.50         (57)(111001)  <=>         (61)(111101)
    0.78060932     0.30051225     0.48009707 0.50         (58)(111010)  <=>         (59)(111011)
    0.04866029     0.01417616     0.03448413 0.50         (58)(111010)  <=>         (62)(111110)
    0.00003321     0.00011750    -0.00008428 0.50         (59)(111011)  <=>         (63)(111111)
    0.00000356     0.00001044    -0.00000688 0.50         (60)(111100)  <=>         (61)(111101)
    0.00097208     0.00081032     0.00016176 0.50         (62)(111110)  <=>         (63)(111111)
